count,replicate,ordering_fraction,dimension_estimate,longest_chain
128,38,0.4981545275590551,2.0049290308661694,18
128,39,0.4864665354330709,2.036514076825658,20
128,40,0.5674212598425197,1.8296713477873707,18
128,41,0.5178395669291339,1.9531346043436917,20
128,42,0.4581692913385827,2.115777657878221,22
128,43,0.5296505905511811,1.9228535149339447,20
128,44,0.47281003937007876,2.074255344310227,18
128,45,0.4970472440944882,2.007893940334369,18
128,46,0.4794537401574803,2.055779078926575,18
128,47,0.49446358267716534,2.01483408064755,20
128,48,0.49889271653543305,2.0029555505975143,22
128,49,0.49753937007874016,2.0065755068041486,19
128,50,0.4672736220472441,2.0898243338507196,19
128,51,0.46272145669291337,2.102745614026307,18
128,52,0.48634350393700787,2.0368499958380397,18
128,53,0.5246062992125984,1.935715651311187,21
128,54,0.49187992125984253,2.021805318832868,17
128,55,0.49126476377952755,2.0234697584083983,19
128,56,0.47576279527559057,2.0660161990071058,18
128,57,0.48548228346456695,2.0392034746697747,19
128,58,0.5265748031496063,1.9306839365697885,21
128,59,0.4905265748031496,2.025469444968574,19
128,60,0.4968011811023622,2.0085535754826567,20
128,61,0.5399852362204725,1.8968201732212766,21
128,62,0.46801181102362205,2.0877392769943133,18
128,63,0.5024606299212598,1.993452052929675,18
128,64,0.5083661417322834,1.977847751260928,23
128,65,0.5290354330708661,1.9244165313128785,18
128,66,0.47576279527559057,2.0660161990071058,22
128,67,0.5199311023622047,1.9477301290869107,19
128,68,0.5216535433070866,1.9432931681523875,21
128,69,0.4921259842519685,2.0211400422834176,18
128,70,0.5513041338582677,1.8687814992684373,24
128,71,0.5537647637795275,1.8627496826928807,22
128,72,0.5488435039370079,1.8748357516551546,21
128,73,0.5294045275590551,1.9234785381003299,20
128,74,0.5066437007874016,1.982382999466588,20
128,75,0.5302657480314961,1.921292025019427,20
128,76,0.5115649606299213,1.9694596845901378,21
128,77,0.47773129921259844,2.060547915649851,18
128,78,0.4972933070866142,2.007234584204066,19
128,79,0.4923720472440945,2.020475050592269,21
128,80,0.5430610236220472,1.889152787738908,20
128,81,0.531988188976378,1.9169279423237153,21
128,82,0.453248031496063,2.129993588290637,17
128,83,0.43823818897637795,2.1741995644304746,15
128,84,0.47773129921259844,2.060547915649851,20
128,85,0.5205462598425197,1.9461440762338034,20
128,86,0.5237450787401575,1.9379220344259092,18
128,87,0.4613681102362205,2.1066083338281563,18
128,88,0.5065206692913385,1.982707447354164,18
128,89,0.4740403543307087,2.0708169833231906,20
128,90,0.4826525590551181,2.0469616777729223,19
128,91,0.5294045275590551,1.9234785381003299,20
128,92,0.4826525590551181,2.0469616777729223,19
128,93,0.5243602362204725,1.9363457345139077,20
128,94,0.49298720472440943,2.0188138156775888,17
128,95,0.5593011811023622,1.8492590334655106,20
128,96,0.5239911417322834,1.9372913271236578,21
128,97,0.47625492125984253,2.0646473013194098,17
128,98,0.44611220472440943,2.150847451089941,17
128,99,0.4906496062992126,2.025135984847272,17
256,0,0.49347426470588235,2.0174997670081933,29
256,1,0.4792279411764706,2.056403395791612,25
256,2,0.4847120098039216,2.041311461378161,27
256,3,0.5062806372549019,1.9833406318929243,28
256,4,0.4902267156862745,2.0262824726840267,26
256,5,0.49846813725490197,2.0040903192812722,31
256,6,0.5002757352941176,1.9992648788502345,28
256,7,0.5280330882352942,1.9269666082887669,28
256,8,0.489031862745098,2.029526396464749,27
256,9,0.5038296568627451,1.9898207834431156,28
256,10,0.4777879901960784,2.0603907224858404,28
256,11,0.49583333333333335,2.011150853026246,28
256,12,0.4840992647058823,2.042990400914025,26
256,13,0.5246629901960784,1.935570520413695,29
256,14,0.469546568627451,2.0834133625059406,29
256,15,0.5227634803921568,1.940440552936878,30
256,16,0.4846200980392157,2.0415631859735424,28
256,17,0.5113664215686274,1.969979002969314,29
256,18,0.4992953431372549,2.001880216138222,29
256,19,0.5012561274509804,1.9966539115293678,29
256,20,0.4975796568627451,2.006467625567495,27
